Area,Country,Month_abbr,Year,Rate,Visitor_Arrivals,Month
East Asia,Taiwan,May,2005,0.215528156,114392.0,5
Southeast Asia & India,Thailand,May,2005,0.020853431,11068.0,5
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,May,2005,0.02957125,15695.0,5
Europe & Nordic Countries & Americas & Australia & Middle East,United States,May,2005,0.137717804,73094.0,5
Southeast Asia & India,Vietnam,May,2005,0.003314166,1759.0,5
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Jun.,2005,0.03350002,18463.0,6
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Jun.,2005,0.018327666,10101.0,6
East Asia,China,Jun.,2005,0.079991436,44086.0,6
Europe & Nordic Countries & Americas & Australia & Middle East,France,Jun.,2005,0.013945792,7686.0,6
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Jun.,2005,0.014943734,8236.0,6
East Asia,Hong Kong,Jun.,2005,0.041703107,22984.0,6
Southeast Asia & India,India,Jun.,2005,0.008879873,4894.0,6
Southeast Asia & India,Indonesia,Jun.,2005,0.010155425,5597.0,6
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Jun.,2005,0.005809839,3202.0,6
Southeast Asia & India,Malaysia,Jun.,2005,0.010071961,5551.0,6
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Jun.,2005,0.002952095,1627.0,6
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Jun.,2005,0.002344257,1292.0,6
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Jun.,2005,0.007348485,4050.0,6
Others,Others,Jun.,2005,0.046364405,25553.0,6
Southeast Asia & India,Philippines,Jun.,2005,0.022653293,12485.0,6
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Jun.,2005,0.009522185,5248.0,6
Southeast Asia & India,Singapore,Jun.,2005,0.015410045,8493.0,6
East Asia,South Korea,Jun.,2005,0.241641779,133177.0,6
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Jun.,2005,0.00327688,1806.0,6
East Asia,Taiwan,Jun.,2005,0.220483585,121516.0,6
Southeast Asia & India,Thailand,Jun.,2005,0.013552058,7469.0,6
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Jun.,2005,0.025433016,14017.0,6
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Jun.,2005,0.148214409,81686.0,6
Southeast Asia & India,Vietnam,Jun.,2005,0.003474654,1915.0,6
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Jul.,2005,0.028772872,19254.0,7
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Jul.,2005,0.021064838,14096.0,7
East Asia,China,Jul.,2005,0.090924306,60844.0,7
Europe & Nordic Countries & Americas & Australia & Middle East,France,Jul.,2005,0.015290538,10232.0,7
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Jul.,2005,0.014949819,10004.0,7
East Asia,Hong Kong,Jul.,2005,0.048728877,32608.0,7
Southeast Asia & India,India,Jul.,2005,0.007486864,5010.0,7
Southeast Asia & India,Indonesia,Jul.,2005,0.008662945,5797.0,7
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Jul.,2005,0.006050761,4049.0,7
Southeast Asia & India,Malaysia,Jul.,2005,0.007149134,4784.0,7
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Jul.,2005,0.00383459,2566.0,7
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Jul.,2005,0.002667476,1785.0,7
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Jul.,2005,0.006348144,4248.0,7
Others,Others,Jul.,2005,0.046479829,31103.0,7
Southeast Asia & India,Philippines,Jul.,2005,0.021752255,14556.0,7
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Jul.,2005,0.009532676,6379.0,7
Southeast Asia & India,Singapore,Jul.,2005,0.0089409,5983.0,7
East Asia,South Korea,Jul.,2005,0.254672939,170420.0,7
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Jul.,2005,0.004995726,3343.0,7
East Asia,Taiwan,Jul.,2005,0.229228061,153393.0,7
Southeast Asia & India,Thailand,Jul.,2005,0.012258433,8203.0,7
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Jul.,2005,0.029384075,19663.0,7
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Jul.,2005,0.117486984,78619.0,7
Southeast Asia & India,Vietnam,Jul.,2005,0.00333696,2233.0,7
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Aug.,2005,0.025893268,16019.0,8
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Aug.,2005,0.021153955,13087.0,8
East Asia,China,Aug.,2005,0.105108663,65026.0,8
Europe & Nordic Countries & Americas & Australia & Middle East,France,Aug.,2005,0.015228197,9421.0,8
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Aug.,2005,0.01375888,8512.0,8
East Asia,Hong Kong,Aug.,2005,0.044978219,27826.0,8
Southeast Asia & India,India,Aug.,2005,0.008512014,5266.0,8
Southeast Asia & India,Indonesia,Aug.,2005,0.006885906,4260.0,8
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Aug.,2005,0.007144531,4420.0,8
Southeast Asia & India,Malaysia,Aug.,2005,0.007868683,4868.0,8
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Aug.,2005,0.002203167,1363.0,8
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Aug.,2005,0.002148209,1329.0,8
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Aug.,2005,0.006158521,3810.0,8
Others,Others,Aug.,2005,0.047073086,29122.0,8
Southeast Asia & India,Philippines,Aug.,2005,0.016576282,10255.0,8
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Aug.,2005,0.008982389,5557.0,8
Southeast Asia & India,Singapore,Aug.,2005,0.007925257,4903.0,8
East Asia,South Korea,Aug.,2005,0.312418068,193279.0,8
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Aug.,2005,0.005355166,3313.0,8
East Asia,Taiwan,Aug.,2005,0.187552028,116030.0,8
Southeast Asia & India,Thailand,Aug.,2005,0.012161867,7524.0,8
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Aug.,2005,0.030420832,18820.0,8
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Aug.,2005,0.101259991,62645.0,8
Southeast Asia & India,Vietnam,Aug.,2005,0.00323282,2000.0,8
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Sep.,2005,0.038988865,21072.0,9
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Sep.,2005,0.019353812,10460.0,9
East Asia,China,Sep.,2005,0.122517402,66216.0,9
Europe & Nordic Countries & Americas & Australia & Middle East,France,Sep.,2005,0.016757885,9057.0,9
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Sep.,2005,0.01913178,10340.0,9
East Asia,Hong Kong,Sep.,2005,0.037566008,20303.0,9
Southeast Asia & India,India,Sep.,2005,0.008849836,4783.0,9
Southeast Asia & India,Indonesia,Sep.,2005,0.009323505,5039.0,9
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Sep.,2005,0.007264155,3926.0,9
Southeast Asia & India,Malaysia,Sep.,2005,0.011399506,6161.0,9
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Sep.,2005,0.003567318,1928.0,9
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Sep.,2005,0.00289012,1562.0,9
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Sep.,2005,0.009121825,4930.0,9
Others,Others,Sep.,2005,0.057682131,31175.0,9
Southeast Asia & India,Philippines,Sep.,2005,0.01830841,9895.0,9
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Sep.,2005,0.010318949,5577.0,9
Southeast Asia & India,Singapore,Sep.,2005,0.01108126,5989.0,9
East Asia,South Korea,Sep.,2005,0.241032672,130269.0,9
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Sep.,2005,0.005500849,2973.0,9
East Asia,Taiwan,Sep.,2005,0.186682875,100895.0,9
Southeast Asia & India,Thailand,Sep.,2005,0.019192839,10373.0,9
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Sep.,2005,0.030718163,16602.0,9
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Sep.,2005,0.109010439,58916.0,9
Southeast Asia & India,Vietnam,Sep.,2005,0.003739393,2021.0,9
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Oct.,2005,0.026370261,15810.0,10
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Oct.,2005,0.022452251,13461.0,10
East Asia,China,Oct.,2005,0.10214348,61239.0,10
Europe & Nordic Countries & Americas & Australia & Middle East,France,Oct.,2005,0.018806116,11275.0,10
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Oct.,2005,0.024048477,14418.0,10
East Asia,Hong Kong,Oct.,2005,0.036641486,21968.0,10
Southeast Asia & India,India,Oct.,2005,0.008406459,5040.0,10
Southeast Asia & India,Indonesia,Oct.,2005,0.010139457,6079.0,10
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Oct.,2005,0.008451494,5067.0,10
Southeast Asia & India,Malaysia,Oct.,2005,0.012741456,7639.0,10
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Oct.,2005,0.003195789,1916.0,10
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Oct.,2005,0.003435973,2060.0,10
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Oct.,2005,0.011780718,7063.0,10
Others,Others,Oct.,2005,0.052403597,31418.0,10
Southeast Asia & India,Philippines,Oct.,2005,0.016127391,9669.0,10
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Oct.,2005,0.010352955,6207.0,10
Southeast Asia & India,Singapore,Oct.,2005,0.013315231,7983.0,10
East Asia,South Korea,Oct.,2005,0.244604605,146650.0,10
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Oct.,2005,0.004173206,2502.0,10
East Asia,Taiwan,Oct.,2005,0.178625577,107093.0,10
Southeast Asia & India,Thailand,Oct.,2005,0.021711682,13017.0,10
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Oct.,2005,0.03781739,22673.0,10
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Oct.,2005,0.127938299,76704.0,10
Southeast Asia & India,Vietnam,Oct.,2005,0.00431665,2588.0,10
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Nov.,2005,0.023368153,12297.0,11
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Nov.,2005,0.022442701,11810.0,11
East Asia,China,Nov.,2005,0.100089505,52670.0,11
Europe & Nordic Countries & Americas & Australia & Middle East,France,Nov.,2005,0.016513723,8690.0,11
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Nov.,2005,0.021296812,11207.0,11
East Asia,Hong Kong,Nov.,2005,0.04360459,22946.0,11
Southeast Asia & India,India,Nov.,2005,0.009632688,5069.0,11
Southeast Asia & India,Indonesia,Nov.,2005,0.011819949,6220.0,11
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Nov.,2005,0.006865832,3613.0,11
Southeast Asia & India,Malaysia,Nov.,2005,0.01382858,7277.0,11
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Nov.,2005,0.002586326,1361.0,11
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Nov.,2005,0.003285642,1729.0,11
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Nov.,2005,0.009900633,5210.0,11
Others,Others,Nov.,2005,0.048009517,25264.0,11
Southeast Asia & India,Philippines,Nov.,2005,0.014543098,7653.0,11
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Nov.,2005,0.011973874,6301.0,11
Southeast Asia & India,Singapore,Nov.,2005,0.018697183,9839.0,11
East Asia,South Korea,Nov.,2005,0.266883809,140442.0,11
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Nov.,2005,0.003477573,1830.0,11
East Asia,Taiwan,Nov.,2005,0.178367213,93862.0,11
Southeast Asia & India,Thailand,Nov.,2005,0.015145497,7970.0,11
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Nov.,2005,0.033394207,17573.0,11
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Nov.,2005,0.120882734,63612.0,11
Southeast Asia & India,Vietnam,Nov.,2005,0.003390159,1784.0,11
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Dec.,2005,0.036565752,18802.0,12
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Dec.,2005,0.025330758,13025.0,12
East Asia,China,Dec.,2005,0.088555554,45535.0,12
Europe & Nordic Countries & Americas & Australia & Middle East,France,Dec.,2005,0.014072427,7236.0,12
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Dec.,2005,0.013216724,6796.0,12
East Asia,Hong Kong,Dec.,2005,0.065803573,33836.0,12
Southeast Asia & India,India,Dec.,2005,0.007273477,3740.0,12
Southeast Asia & India,Indonesia,Dec.,2005,0.011468367,5897.0,12
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Dec.,2005,0.005282022,2716.0,12
Southeast Asia & India,Malaysia,Dec.,2005,0.016326427,8395.0,12
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Dec.,2005,0.002135368,1098.0,12
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Dec.,2005,0.002246221,1155.0,12
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Dec.,2005,0.007114005,3658.0,12
Others,Others,Dec.,2005,0.041822492,21505.0,12
Southeast Asia & India,Philippines,Dec.,2005,0.014844505,7633.0,12
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Dec.,2005,0.008652326,4449.0,12
Southeast Asia & India,Singapore,Dec.,2005,0.031884667,16395.0,12
East Asia,South Korea,Dec.,2005,0.27618792,142015.0,12
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Dec.,2005,0.00246987,1270.0,12
East Asia,Taiwan,Dec.,2005,0.164497265,84584.0,12
Southeast Asia & India,Thailand,Dec.,2005,0.01723075,8860.0,12
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Dec.,2005,0.031684354,16292.0,12
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Dec.,2005,0.112871137,58038.0,12
Southeast Asia & India,Vietnam,Dec.,2005,0.002464036,1267.0,12
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Jan.,2006,0.033108104,20315.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Jan.,2006,0.023890312,14659.0,1
East Asia,China,Jan.,2006,0.1122139,68854.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,France,Jan.,2006,0.013831576,8487.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Jan.,2006,0.012920554,7928.0,1
East Asia,Hong Kong,Jan.,2006,0.059649998,36601.0,1
Southeast Asia & India,India,Jan.,2006,0.008885325,5452.0,1
Southeast Asia & India,Indonesia,Jan.,2006,0.006497761,3987.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Jan.,2006,0.004639861,2847.0,1
Southeast Asia & India,Malaysia,Jan.,2006,0.010125555,6213.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Jan.,2006,0.001639515,1006.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Jan.,2006,0.002120288,1301.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Jan.,2006,0.007842294,4812.0,1
Others,Others,Jan.,2006,0.038161918,23416.0,1
Southeast Asia & India,Philippines,Jan.,2006,0.013877209,8515.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Jan.,2006,0.008288842,5086.0,1
Southeast Asia & India,Singapore,Jan.,2006,0.011339709,6958.0,1
East Asia,South Korea,Jan.,2006,0.313871016,192590.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Jan.,2006,0.001875827,1151.0,1
East Asia,Taiwan,Jan.,2006,0.178553967,109560.0,1
Southeast Asia & India,Thailand,Jan.,2006,0.010945313,6716.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Jan.,2006,0.02959928,18162.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Jan.,2006,0.093444221,57337.0,1
Southeast Asia & India,Vietnam,Jan.,2006,0.002677658,1643.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Feb.,2006,0.027516705,14141.0,2
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Feb.,2006,0.018382739,9447.0,2
East Asia,China,Feb.,2006,0.108661895,55842.0,2
Europe & Nordic Countries & Americas & Australia & Middle East,France,Feb.,2006,0.014444276,7423.0,2
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Feb.,2006,0.015759691,8099.0,2
East Asia,Hong Kong,Feb.,2006,0.05462283,28071.0,2
Southeast Asia & India,India,Feb.,2006,0.007900277,4060.0,2
Southeast Asia & India,Indonesia,Feb.,2006,0.005263609,2705.0,2
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Feb.,2006,0.005172152,2658.0,2
Southeast Asia & India,Malaysia,Feb.,2006,0.008124054,4175.0,2
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Feb.,2006,0.001673458,860.0,2
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Feb.,2006,0.002333112,1199.0,2
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Feb.,2006,0.00778547,4001.0,2
Others,Others,Feb.,2006,0.034893541,17932.0,2
Southeast Asia & India,Philippines,Feb.,2006,0.011648045,5986.0,2
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Feb.,2006,0.007219219,3710.0,2
Southeast Asia & India,Singapore,Feb.,2006,0.009279907,4769.0,2
East Asia,South Korea,Feb.,2006,0.339048386,174239.0,2
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Feb.,2006,0.002344787,1205.0,2
East Asia,Taiwan,Feb.,2006,0.180009574,92508.0,2
Southeast Asia & India,Thailand,Feb.,2006,0.013379879,6876.0,2
